Customer ID,frequency,monetary,recency,churn,segment,clv,churn_probability
12346,12,77556.46,326,1,Lost,46128.41242637658,0.06721768150062842
12347,8,4921.53,2,0,Champion,4827.678905650179,0.3273939143102115
12348,5,2019.4,75,0,Promising,2741.7118958518176,0.48740994823751127
12349,4,4428.69,19,0,Loyal,5942.831771443817,0.5306810504720086
12350,1,334.4,310,1,Lost,0.0,0.6921397390605338
12351,1,300.93,375,1,Lost,0.0,0.6922452472582812
12352,10,2849.84,36,0,Loyal,2947.1347954473526,0.24840525615374262
12353,2,406.76,204,1,Lost,0.0,0.6456964894183118
12354,1,1079.4,232,1,Lost,0.0,0.6897860751990004
12355,2,947.61,214,1,Lost,0.0,0.643863713269856
12356,6,6371.73,23,0,Champion,7079.553163534576,0.41978388369358527
12357,3,18287.66,33,0,Loyal,0.0,0.5316392495646024
12358,5,3887.07,2,0,Champion,2328.9429255211635,0.4805089737681307
12359,10,8873.39,58,0,Loyal,4727.359439976353,0.23214190095957205
12360,8,4252.89,52,0,Loyal,2951.7818113933704,0.32957607544383427
12361,4,511.25,287,1,Lost,607.8629835863657,0.5450867874847246
12362,11,5356.23,3,0,Champion,2938.5256023988563,0.20536169369491944
12363,2,552.0,110,1,At Risk,0.0,0.6452047326471642
12364,4,1313.1,8,0,Loyal,5089.599359528401,0.5421434571302856
12365,2,641.38,291,1,Lost,0.0,0.6449019552482832
12366,1,500.24,634,1,Lost,0.0,0.6916166619855939
12367,1,168.9,4,0,Promising,0.0,0.692661252283405
12368,1,917.6999999999999,628,1,Lost,0.0,0.6902977720955689
12369,3,1791.15,413,1,Lost,60777.20530601204,0.5916516662711532
12370,7,4316.56,51,0,Loyal,3184.0762312914153,0.3770356876947675
12371,5,4067.38,45,0,Loyal,5614.023928689619,0.4798430861641813
12372,3,1298.04,72,0,Promising,81730.28871209134,0.5934131266028643
12373,3,1127.65,311,1,Lost,28978.840938867455,0.5940212287229689
12374,4,2989.2200000000003,25,0,Loyal,78144.03651050644,0.535981694014612
12375,2,457.5,11,0,Promising,0.0,0.645524727757566
12376,2,503.15,390,1,Lost,0.0,0.645370164349697
12377,4,3426.32,315,1,Lost,3761.2328115917317,0.5343729392845614
12378,2,5416.32,130,1,At Risk,0.0,0.6285631395228921
12379,4,1620.22,82,0,Promising,2422.7739943188885,0.5410153286207027
12380,11,9676.300000000001,22,0,Champion,4709.759289943017,0.19512743689077422
12381,5,1845.31,5,0,Champion,2674.000545292393,0.48805348985002023
12383,5,1850.56,185,1,Lost,2231.51192716893,0.48803408209449867
12384,2,585.27,29,0,Promising,0.0,0.645092043108669
12385,1,1938.4,379,1,Lost,0.0,0.6870600101583648
12386,2,401.9,338,1,Lost,0.0,0.6457129391948703
12387,1,143.94,415,1,Lost,0.0,0.6927398620111629
12388,8,3901.11,16,0,Champion,2746.6679617027157,0.33072710146229023
12389,3,1433.33,403,1,Lost,52947.54694749967,0.5929300881888498
12390,1,549.84,80,0,Promising,0.0,0.6914601226499298
12391,6,2724.84,22,0,Champion,2094.423868112966,0.4329798321336415
12392,1,234.75000000000003,591,1,Lost,0.0,0.6924538087573205
12393,6,2399.4500000000003,72,0,Promising,2686.558422760981,0.43416214955381743
12394,2,1272.48,64,0,Promising,0.0,0.6427607938981119
12395,15,4721.17,19,0,Champion,2299.2464369355152,0.10162472899916751
12396,1,931.43,674,1,Lost,0.0,0.6902543418255933
12397,2,2409.9,36,0,Promising,0.0,0.6388874317006986
12398,1,1635.6599999999999,46,0,Promising,0.0,0.6880222547774494
